resultId,raceId,driverId,constructorId,grid,position,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId,rank
361,1146,1,6,1,1,8,19,30:39.965,1839965,2,1:35.399,1,1
362,1146,857,1,3,2,7,19,+6.889,1846854,7,1:35.854,1,4
363,1146,830,9,2,3,6,19,+9.804,1849769,2,1:35.745,1,2
364,1146,847,131,5,4,5,19,+11.592,1851557,4,1:35.891,1,5
365,1146,844,6,4,5,4,19,+12.190,1852155,4,1:36.255,1,6
366,1146,852,215,8,6,3,19,+22.288,1862253,4,1:36.388,1,8
367,1146,863,131,7,7,2,19,+23.038,1863003,5,1:36.311,1,7
368,1146,846,1,6,8,1,19,+23.471,1863436,4,1:36.708,1,11
369,1146,840,117,10,9,0,19,+24.916,1864881,4,1:36.435,1,9
370,1146,4,117,11,10,0,19,+38.218,1878183,8,1:37.058,1,12
371,1146,848,3,9,11,0,19,+39.292,1879257,7,1:37.344,1,15
372,1146,842,214,17,12,0,19,+39.649,1879614,3,1:37.481,1,17
373,1146,865,215,15,13,0,19,+42.400,1882365,3,1:37.549,1,18
374,1146,859,9,19,14,0,19,+44.904,1884869,4,1:37.163,1,14
375,1146,860,210,12,15,0,19,+45.649,1885614,3,1:37.135,1,13
376,1146,839,210,18,16,0,19,+46.182,1886147,3,1:37.554,1,19
377,1146,832,3,13,17,0,19,+51.376,1891341,13,1:35.819,1,3
378,1146,864,15,14,18,0,19,+53.940,1893905,3,1:37.475,1,16
379,1146,807,15,20,19,0,19,+56.682,1896647,4,1:36.529,1,10
380,1146,862,214,16,20,0,19,+1:10.212,1910177,3,1:37.686,1,20
381,1150,846,1,3,1,8,18,36:37.647,2197647,4,1:40.334,1,5
382,1150,857,1,2,2,7,18,+0.672,2198319,7,1:40.238,1,4
383,1150,1,6,7,3,6,18,+1.073,2198720,13,1:36.368,1,1
384,1150,847,131,5,4,5,18,+3.127,2200774,6,1:40.963,1,7
385,1150,840,117,16,5,4,18,+3.412,2201059,13,1:36.839,1,2
386,1150,852,9,20,6,3,18,+5.153,2202800,13,1:38.078,1,3
387,1150,863,131,1,7,2,18,+5.635,2203282,6,1:41.012,1,8
388,1150,842,214,13,8,1,18,+5.973,2203620,7,1:42.694,1,16
389,1150,807,15,11,9,0,18,+6.153,2203800,5,1:42.871,1,17
390,1150,865,215,9,10,0,18,+7.502,2205149,6,1:42.260,1,13
391,1150,848,3,8,11,0,18,+7.522,2205169,7,1:41.699,1,9
392,1150,839,210,12,12,0,18,+8.998,2206645,6,1:42.550,1,14
393,1150,859,215,14,13,0,18,+9.024,2206671,7,1:41.922,1,11
394,1150,860,210,19,14,0,18,+9.218,2206865,5,1:42.237,1,12
395,1150,864,15,18,15,0,18,+9.675,2207322,6,1:42.989,1,18
396,1150,862,214,17,16,0,18,+9.909,2207556,7,1:43.076,1,19
397,1150,830,9,4,17,0,18,+12.059,2209706,5,1:40.697,1,6
401,1157,830,9,2,1,8,15,26:37.997,1597997,6,1:46.052,1,2
402,1157,857,1,1,2,7,15,+0.753,1598750,6,1:46.061,1,3
403,1157,846,1,3,3,6,15,+1.414,1599411,6,1:45.914,1,1
404,1157,844,6,4,4,5,15,+10.176,1608173,2,1:46.343,1,4
405,1157,839,210,5,5,4,15,+13.789,1611786,2,1:46.772,1,7
406,1157,832,3,6,6,3,15,+14.964,1612961,7,1:46.770,1,6
407,1157,860,210,7,7,2,15,+18.610,1616607,2,1:47.038,1,9
408,1157,865,215,9,8,1,15,+19.119,1617116,2,1:46.973,1,8
409,1157,864,15,10,9,0,15,+22.183,1620180,2,1:47.086,1,10
410,1157,859,215,11,10,0,15,+22.897,1620894,2,1:47.249,1,12
411,1157,852,9,12,11,0,15,+24.551,1622548,4,1:47.326,1,15
412,1157,847,131,13,12,0,15,+25.969,1623966,4,1:47.278,1,13
413,1157,840,117,15,13,0,15,+26.595,1624592,5,1:47.307,1,14
414,1157,4,117,14,14,0,15,+29.046,1627043,5,1:47.444,1,17
415,1157,1,6,18,15,0,15,+30.175,1628172,4,1:47.201,1,11
416,1157,848,3,16,16,0,15,+30.941,1628938,6,1:47.419,1,16
417,1157,863,131,19,17,0,15,+31.981,1629978,5,1:46.698,1,5
418,1157,807,15,17,18,0,15,+32.867,1630864,8,1:47.575,1,18
419,1157,861,214,20,19,0,15,+38.072,1636069,15,1:47.944,1,20
